Diff 1,Diff 2
2020-12-30 20:11:00
14,12
2,-7
0,-14
0,-16
11,21
26,-5
0,0
0,30
3,-19
0,-20
0,-20
0,-20
0,-18
0,6
35,-9
0,0
0,-8
0,-22
0,-14
0,28
0,3
13,-19
0,22
20,-19
0,-14
0,-19
0,-9
1,-13
0,9
0,9
0,-6
4,-22
0,2
0,-20
0,-22
0,-21
0,-10
0,-8
0,86
0,-17
0,2
0,8
0,-22
4,-12
0,1
0,-22
0,-9
0,-17
0,-19
0,-16
3,-5
0,-10
0,-9
0,-18
0,-15
5,-14
0,23
0,0
0,9
9,-12
0,8
0,5
34,-14
0,3
0,-2
9,2
60,89
21,-9
0,-10
0,-13
0,42
0,4
0,-2
0,-17
0,-17
0,4
0,14
0,-17
0,-10
8,-4
0,-20
0,-21
0,-13
39,81
0,-8
26,76
14,-1
0,-13
0,-14
0,0
0,-18
0,-22
0,-23
0,14
0,-8
0,80
1,11
0,-1
0,20
0,-5
0,4
69,26
0,-11
0,-3
0,-9
0,-8
0,-7
0,-9
70,37
0,16
28,60
0,102
0,-6
0,0
0,39
0,178
0,12
0,226
0,5
0,-6
0,-1
0,-3
3,-12
0,21
0,23
0,-13
0,52
0,-6
0,-14
0,-18
2,37
0,4
0,-16
0,-13
0,-3
0,11
0,-27
0,8
0,-7
0,6
0,-24
0,-11
0,-5
0,-24
0,-4
0,-12
0,-10
0,-8
45,3
0,-1
6,0
0,0
0,12
0,8
0,-27
0,-2
0,2
0,2
0,202
0,-12
0,26
0,-9
0,-1
0,-1
0,5
0,13
0,-13
0,-5
1,7
0,-20
0,5
0,-1
6,-4
0,-6
0,1
0,-25
0,-3
156,230
0,-24
0,-12
0,-16
0,8
0,-3
0,13
0,10
0,-18
0,11
0,-17
0,-8
6,38
18,-6
25,34
0,156
0,-6
0,-9
0,-9
1,-3
10,0
0,1
0,-2
0,-12
0,-12
0,-14
0,9
0,-16
0,70
0,-1
1,18
0,-14
0,-17
0,4
0,-6
0,-3
0,-1
0,152
0,-3
0,-9
0,-7
0,-3
0,4
14,91
1,-4
0,13
0,14
0,-15
0,-8
0,-12
0,6
0,-16
0,12
0,-12
6,-12
0,0
0,-13
44,-3
0,-22
0,-6
0,5
0,-9
0,7
15,4
0,20
10,16
0,12
0,-22
0,22
0,-2
0,-12
0,59
0,-15
1,-9
2,2
0,10
0,-10
15,144
0,-5
0,6
0,-9
0,-14
0,-16
0,0
0,3
7,-9
69,50
0,-3
0,-16
0,0
0,-2
1,3
0,23
0,7
0,-12
0,-10
0,5
0,-16
0,61
0,-8
1,-13
0,-9
1,-1
2,-7
1,19
0,-4
0,-1
2,-4
0,-16
1,10
0,-17
0,-4
0,-10
0,4
0,-2
0,29
0,23
0,3
0,17
0,-15
0,25
16,4
27,-2
0,16
1,151
3,57
0,3
0,-4
13,27
0,45
0,31
0,9
0,5
0,-5
0,5
0,11
